Depth (cm),Soil type,14C cal (ybp),ybp ±,C pool,,Soil type,Soil depth (cm),Avg δ13C SOC (‰),δ13C stder,Avg SOC (g/kg),SOC stder,C4 SOC (%),PyC (g / kg),,Soil type,Depth (cm),"Sm
(ppm)","Nd
(ppm)","147Sm
144Nd",eNd (0),"TDM
(Ga)",87Sr/86Sr,143Nd/144Nd,,Soil type,Soil depth,Avg total Ca (mg/kg),Total Ca stder,Avg total P (mg/kg),Total P stder,Bulk density
0-10,ADE,265,15,PyC,,ADE,0-10,-27.2,0.38,23.7,1.5,0.0,1.04,,ADE,0-10,3.233,15.606,0.1252,-9.99,1.57,0.71378,0.512126,,ADE,0-10,2108.430267,179.813125,1243.646714,165.3276102,1.12
30-40,Ultisol,2225,20,PyC,,ADE,10-20,-26.0,0.68,21.3,0.7,0.0,1.52,,ADE,0-10,4.026,23.2,0.1049,-11.48,1.38,0.71358,0.51205,,ADE,10-20,1603.712027,167.1494671,1353.275271,173.0456533,1.18
30-40,ADE,4960,70,PyC,,ADE,20-30,-25.8,0.59,17.9,1.7,1.2,1.37,,ADE,0-10,2.568,13.365,0.1161,-10.87,1.49,0.713508,0.512081,,ADE,20-30,1498.069705,223.8793137,1684.307366,233.5847736,1.25
40-50,Ultisol,4440,70,PyC,,ADE,30-40,-25.2,0.14,13.2,1.6,5.5,1.01,,Ultisol,0-10,3.13,16.157,0.1171,-11.31,1.54,0.71474,0.512058,,ADE,30-40,1405.508307,199.4681052,1825.190338,189.7442338,1.27
80-90,ADE,6420,50,PyC,,ADE,40-50,-24.4,0.42,11.3,1.8,10.9,1.43,,Ultisol,0-10,,,,,,0.71526,,,ADE,40-50,1307.534734,167.0422449,1845.818479,212.2137333,1.28
80-90,Ultisol,5430,20,PyC,,ADE,50-60,-24.9,0.30,9.4,1.5,7.3,1.03,,ADE,40-50,4.839,27.748,0.1054,-11.68,1.4,0.71423,0.512039,,ADE,50-60,1276.025016,224.259136,1871.900274,263.3945475,1.27
90-100,Ultisol,7630,80,PyC,,ADE,60-70,-24.7,0.26,9.2,1.7,8.8,0.93,,ADE,40-50,3.197,16.876,0.1145,-11.35,1.5,0.7139,0.512056,,ADE,60-70,1153.013196,192.7096909,1779.827944,247.4988442,1.28
0-10,ADE,modern,,SOC,,ADE,70-80,-24.3,0.22,5.9,1.5,11.1,0.37,,Ultisol,40-50,3.915,21.454,0.1103,-11.78,1.48,0.71523,0.512034,,ADE,70-80,1004.604798,124.0299371,1673.301983,245.9517739,1.28
0-10,Ultisol,modern,,SOC,,ADE,80-90,-24.7,0.50,5.5,0.3,8.6,0.23,,Ultisol,40-50,4.495,21.472,0.1265,-12.13,1.78,0.71548,0.512016,,ADE,80-90,1113.553891,231.2935868,1824.727632,322.5495942,1.29
30-40,ADE,880,20,SOC,,ADE,90-100,-23.2,1.02,4.7,0.9,18.9,0.21,,Ultisol,40-50,3.075,17.437,0.1066,-12.24,1.46,0.71494,0.512011,,ADE,90-100,593.2191991,57.71839068,1509.121994,228.0926851,1.31
40-50,ADE,1190,20,SOC,,Ultisol ,0-10,-26.4,0.35,18.9,0.6,0.0,,,ADE,90-100,6.031,34.206,0.1066,-10.59,1.34,0.71411,0.512095,,Ultisol ,0-10,155.4462505,40.13908965,314.278132,50.1402034,1.18
40-50,Ultisol,805,15,SOC,,Ultisol ,10-20,-24.8,0.25,15.2,0.3,8.0,,,ADE,90-100,,,,,,0.71423,,,Ultisol ,10-20,115.4106165,30.36147335,335.3374109,52.5806032,1.21
50-60,ADE,1355,15,SOC,,Ultisol ,20-30,-25.0,0.18,13.2,0.2,6.9,0.13,,ADE,90-100,3.96,22.757,0.1052,-11.78,1.41,0.71454,0.512034,,Ultisol ,20-30,77.29243862,4.758262421,317.603604,36.48250437,1.26
90-100,ADE,2240,15,SOC,,Ultisol ,30-40,-25.4,0.25,11.7,0.5,4.1,0.12,,Ultisol,90-100,3.962,22.304,0.1074,-11.22,1.39,,0.512063,,Ultisol ,30-40,108.1084391,28.48323594,359.5617068,54.94196848,1.28
80-90,Ultisol,1285,15,SOC,,Ultisol ,40-50,-25.8,0.37,9.5,0.1,1.0,0.19,,Ultisol,90-100,4.152,24.025,0.1045,-11.85,1.4,0.71558,0.51203,,Ultisol ,40-50,93.2480944,13.61757086,300.9560578,24.68956334,1.29
,,,,,,Ultisol ,50-60,-25.8,0.17,8.1,0.4,1.6,,,Ultisol,90-100,3.979,22.376,0.1075,-11.9,1.45,,0.512028,,Ultisol ,50-60,124.1973477,36.38055679,346.0103581,56.44714493,1.29
,,,,,,Ultisol ,60-70,-25.6,0.17,6.2,0.3,2.4,,,,,,,,,,,,,Ultisol ,60-70,73.38488623,5.451514209,309.7346784,34.70804631,1.31
,,,,,,Ultisol ,70-80,-25.7,0.35,6.8,0.1,1.8,0.07,,,,,,,,,,,,Ultisol ,70-80,88.19408172,15.00279941,299.4534346,33.07985869,1.33
,,,,,,Ultisol ,80-90,-25.7,0.38,6.4,0.3,2.3,,,,,,,,,,,,,Ultisol ,80-90,107.9660683,31.24159835,317.2376871,53.97313509,1.33
,,,,,,Ultisol ,90-100,-25.7,0.29,5.0,0.6,2.2,0.05,,,,,,,,,,,,Ultisol ,90-100,76.1811746,9.287257194,284.788192,38.95460428,1.35